Level,Semester,GPA,Program,English in specialty,Human rights and the fight against corruption,Fundamentals of management,Calculus,Electronics,Fundamentals of computer science,Optical physics,Scientific and technical report writing,Discrete structures,Linear algebra,Probability and statistics,Programming,E-learning,Mutimedia,Advanced programming,Data structures,Logic design,Data communication,System analysis and design,Signals and systems,Operating systems,Software engineering,Computer network,Database system,Modeling and simulation,File organization and processing,Creative thinking,Computer graphics,Artificial intelligence,Information and computer networks security,Computer architecture and organization,Internet technology,Algorithms,Computer architecture,Advanced database systems,Advanced analysis and design of information systems,Concepts of porgramming languages,Genetic algorithms,Pattern recognition,Digital signals processing,Numerical methods,Advanced software engineering,Communication technology,Wireless and mobile networks,Data storage and retrieval,Advanced analysis and design of information systems,Data warehousing,Geographic information systems,Internet applications,Image processing,Advanced multimedia,Parallel processing,Project-1,Computer vision,Machine learning,Advanced computers networks,Selected Topics in information technology,Database design,Management information systems,Data mining,Selected topics in information systems,Neural networks,Knowledge based systems,Project-2,Compilers,Natural language processing,Embedded systems,Virtual reality,Distributed database,Quality assurance of information systems and programming,Output
1,2,2.16,general,63,68,60,82,70,75,60,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,2.38,general,63,68,60,82,70,75,60,pc,pc,pc,pc,pc,pc,pc,66,78,71,83,74,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,2.61,cs,63,68,60,82,70,75,60,pc,pc,pc,pc,pc,pc,pc,66,78,71,83,74,86,77,89,85,86,86,77,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,2.6,cs,63,68,60,82,70,75,60,pc,pc,pc,pc,pc,pc,pc,66,78,71,83,74,86,77,89,85,86,86,77,75,79,82,76,69,71,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,2.61,cs,63,68,60,82,70,75,60,pc,pc,pc,pc,pc,pc,pc,66,78,71,83,74,86,77,89,85,86,86,77,75,79,82,76,69,71,76,,,,70,74,67,82,82,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,2.69,cs,63,68,60,82,70,75,60,pc,pc,pc,pc,pc,pc,pc,66,78,71,83,74,86,77,89,85,86,86,77,75,79,82,76,69,71,76,,,,70,74,67,82,82,87,,,,,,,,78,88,68,96,87,88,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,0.76,general,45,55,60,63,47,60,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,0.87,general,91,60,60,63,52,60,47,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Electronics','Advanced programming','Data structures','Data communication
']"
2,1,1.06,general,91,60,60,63,70,60,47,pc,pc,pc,pc,pc,pc,pc,59,68,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network','Database system','File organization and processing
']"
2,2,1.56,cs,91,60,60,63,70,60,47,pc,pc,pc,pc,pc,pc,pc,59,68,76,62,,,73,86,72,60,66,81,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Internet technology',' Signals and systems','Computer architecture and organization ']"
3,1,1.68,cs,91,60,60,63,70,60,47,pc,pc,pc,pc,pc,pc,pc,76,68,76,62,,77,73,86,72,60,66,81,80,,,,63,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,1.9,cs,91,60,60,63,70,60,92,pc,pc,pc,pc,pc,pc,pc,76,68,76,62,80,77,73,86,72,60,66,81,80,,,,63,68,,,,,64,,,77,72,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics',' Artificial intelligence','Parallel processing ',' Algorithms']"
4,1,1.89,cs,91,60,60,63,70,60,92,pc,pc,pc,pc,pc,pc,pc,76,68,76,62,80,77,73,86,72,60,66,81,80,64,63,,63,68,70,,,,64,,,77,72,86,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,"['Neural networks',
'Project-1 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,3.15,general,88,76,77,91,87,89,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,3.15,general,88,76,77,91,87,89,80,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,3.18,general,88,76,77,91,87,89,80,pc,pc,pc,pc,pc,pc,pc,82,93,86,90,73,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,3.27,cs,88,76,77,91,87,89,80,pc,pc,pc,pc,pc,pc,pc,82,93,86,90,73,85,86,96,93,90,89,83,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,3.2,cs,88,76,77,91,87,89,80,pc,pc,pc,pc,pc,pc,pc,82,93,86,90,73,85,86,96,93,90,89,83,80,82,91,84,78,85,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,3.17,cs,88,76,77,91,87,89,80,pc,pc,pc,pc,pc,pc,pc,82,93,86,90,73,85,86,96,93,90,89,83,80,82,91,84,78,85,71,,,,83,87,80,79,86,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,3.2,cs,88,76,77,91,87,89,80,pc,pc,pc,pc,pc,pc,pc,82,93,86,90,73,85,86,96,93,90,89,83,80,82,91,84,78,85,71,,,,83,87,80,79,86,80,,,,,,,,82,90,73,96,87,91,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.18,general,81,60,79,94,67,72,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.18,general,81,60,79,94,67,72,44,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,2.67,general,81,60,79,94,67,72,44,pc,pc,pc,pc,pc,pc,pc,73,84,80,91,86,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,3.04,cs,81,60,79,94,67,72,44,pc,pc,pc,pc,pc,pc,pc,73,84,80,91,86,90,87,97,95,95,95,95,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms','Design and analysis web pages']"
3,1,3,cs,81,60,79,94,67,72,94,pc,pc,pc,pc,pc,pc,pc,73,84,80,91,86,90,87,97,95,95,95,95,90,77,82,75,75,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,3,cs,81,60,79,94,67,72,94,pc,pc,pc,pc,pc,pc,pc,73,84,80,91,86,90,87,97,95,95,95,95,90,77,82,75,75,76,76,,,,85,81,66,80,92,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,3.03,cs,81,60,79,94,67,72,94,pc,pc,pc,pc,pc,pc,pc,73,84,80,91,86,90,87,97,95,95,95,95,90,77,82,75,75,76,76,,,,85,81,66,80,92,83,,,,,,,,78,88,79,96,93,78,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.29,general,62,70,71,90,87,78,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.35,general,62,70,71,90,87,78,77,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,2.81,general,62,70,71,90,87,78,77,pc,pc,pc,pc,pc,pc,pc,85,87,91,93,78,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,2.98,cs,62,70,71,90,87,78,77,pc,pc,pc,pc,pc,pc,pc,85,87,91,93,78,86,76,96,87,90,91,83,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,2.98,cs,62,70,71,90,87,78,77,pc,pc,pc,pc,pc,pc,pc,85,87,91,93,78,86,76,96,87,90,91,83,80,88,90,84,73,83,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,3,cs,62,70,71,90,87,78,77,pc,pc,pc,pc,pc,pc,pc,85,87,91,93,78,86,76,96,87,90,91,83,80,88,90,84,73,83,76,,,,84,84,85,80,83,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,3.08,cs,62,70,71,90,87,78,77,pc,pc,pc,pc,pc,pc,pc,85,87,91,93,78,86,76,96,87,90,91,83,80,88,90,84,73,83,76,,,,84,84,85,80,83,85,,,,,,,,93,88,75,96,90,88,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.1,general,68,68,75,92,59,70,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.33,general,68,68,75,92,91,70,65,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,2.46,general,68,68,75,92,91,70,65,pc,pc,pc,pc,pc,pc,pc,65,90,69,79,72,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,2.68,cs,68,68,75,92,91,70,65,pc,pc,pc,pc,pc,pc,pc,65,90,69,79,72,82,79,94,83,92,80,85,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,2.7,cs,68,68,75,92,91,70,65,pc,pc,pc,pc,pc,pc,pc,65,90,69,79,72,82,79,94,83,92,80,85,79,85,84,72,83,68,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,2.73,cs,68,68,75,92,91,70,65,pc,pc,pc,pc,pc,pc,pc,65,90,69,79,72,82,79,94,83,92,80,85,79,85,84,72,83,68,81,,,,74,78,65,91,88,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,2.83,cs,68,68,75,92,91,70,65,pc,pc,pc,pc,pc,pc,pc,65,90,69,79,72,82,79,94,83,92,80,85,79,85,84,72,83,68,81,,,,74,78,65,91,88,86,,,,,,,,76,92,78,89,95,90,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,1.94,general,87,77,74,68,53,66,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.05,general,87,77,74,68,75,66,67,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,2.33,general,87,77,74,68,75,66,67,pc,pc,pc,pc,pc,pc,pc,68,69,70,90,79,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,2.39,cs,87,77,74,68,75,66,67,pc,pc,pc,pc,pc,pc,pc,68,69,70,90,79,89,73,85,73,66,74,77,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,2.42,cs,87,77,74,68,75,66,67,pc,pc,pc,pc,pc,pc,pc,68,69,70,90,79,89,73,85,73,66,74,77,83,77,76,70,76,72,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,2.45,cs,87,77,74,68,75,66,67,pc,pc,pc,pc,pc,pc,pc,68,69,70,90,79,89,73,85,73,66,74,77,83,77,76,70,76,72,73,,,,71,70,61,93,63,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,2.52,cs,87,77,74,68,75,66,67,pc,pc,pc,pc,pc,pc,pc,68,69,70,90,79,89,73,85,73,66,74,77,83,77,76,70,76,72,73,,,,71,70,61,93,63,94,,,,,,,,68,84,69,96,78,91,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.67,general,75,66,78,92,82,76,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.67,general,75,66,78,92,82,76,60,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,2.56,general,75,66,78,92,82,76,60,pc,pc,pc,pc,pc,pc,pc,76,67,64,85,62,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,2.63,cs,75,66,78,92,82,76,60,pc,pc,pc,pc,pc,pc,pc,76,67,64,85,62,88,68,93,81,79,78,83,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,2.59,cs,75,66,78,92,82,76,60,pc,pc,pc,pc,pc,pc,pc,76,67,64,85,62,88,68,93,81,79,78,83,75,81,81,64,78,67,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,2.55,cs,75,66,78,92,82,76,60,pc,pc,pc,pc,pc,pc,pc,76,67,64,85,62,88,68,93,81,79,78,83,75,81,81,64,78,67,74,,,,72,68,72,76,65,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,2.58,cs,75,66,78,92,82,76,60,pc,pc,pc,pc,pc,pc,pc,76,67,64,85,62,88,68,93,81,79,78,83,75,81,81,64,78,67,74,,,,72,68,72,76,65,81,,,,,,,,67,78,67,96,66,90,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,1.79,general,83,60,65,70,67,69,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,1.78,general,83,60,65,70,67,69,60,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
']"
2,1,2.02,general,83,60,65,70,67,69,60,pc,pc,pc,pc,pc,pc,pc,68,77,69,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,2.42,cs,83,60,65,70,67,69,60,pc,pc,pc,pc,pc,pc,pc,68,77,69,84,83,,69,94,85,88,78,93,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,2.45,cs,83,60,65,70,67,69,60,pc,pc,pc,pc,pc,pc,pc,68,77,69,84,83,,69,94,85,88,78,93,80,74,74,82,64,83,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,2.49,cs,83,60,65,70,67,69,60,pc,pc,pc,pc,pc,pc,pc,68,77,69,84,83,81,69,94,85,88,78,93,80,74,74,82,64,83,84,,,,72,73,68,71,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,2.52,cs,83,60,65,70,67,69,60,pc,pc,pc,pc,pc,pc,pc,68,77,69,84,83,81,69,94,85,88,78,93,80,74,74,82,64,83,84,,,,72,73,68,71,85,84,,,,,,,,77,76,60,96,73,75,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.56,general,87,72,70,76,74,81,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
